cau_hoi,intent,entities_required,response_type,tra_loi,is_template_row,note
Chính sách miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,0,
Ai được miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn đang hỏi theo diện nào (hộ nghèo/chính sách/khác) để mình hỗ trợ.,0,
Miễn giảm học phí gồm những trường hợp nào,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết diện miễn giảm bạn quan tâm để mình cung cấp thông tin.,0,
Thủ tục xin miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết diện miễn giảm và học kỳ/năm học để mình hướng dẫn.,0,
Giảm học phí như thế nào,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào để mình hỗ trợ chính xác.,0,
Cho minh hoi ve chinh sach mien giam hoc phi duoc khong?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #1 cho intent chinh_sach_mien_giam
chinh sach mien giam hoc phi hien nay nhu the nao?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #2 cho intent chinh_sach_mien_giam
Minh can tra cuu chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #3 cho intent chinh_sach_mien_giam
chinh sach mien giam hoc phi ap dung ra sao?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #4 cho intent chinh_sach_mien_giam
Thong tin moi nhat ve chinh sach mien giam hoc phi la gi?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #5 cho intent chinh_sach_mien_giam
Minh muon biet chi tiet chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #6 cho intent chinh_sach_mien_giam
chinh sach mien giam hoc phi co thay doi gi khong?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #7 cho intent chinh_sach_mien_giam
Ban ho tro minh phan chinh sach mien giam hoc phi nhe.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #8 cho intent chinh_sach_mien_giam
Cho minh xin huong dan ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #9 cho intent chinh_sach_mien_giam
Minh dang thac mac ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #10 cho intent chinh_sach_mien_giam
Tra cuu giup minh chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #11 cho intent chinh_sach_mien_giam
chinh sach mien giam hoc phi danh cho sinh vien nhu the nao?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #12 cho intent chinh_sach_mien_giam
