cau_hoi,intent,entities_required,response_type,tra_loi,is_template_row,note
Chính sách miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,0,
Ai được miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,0,
Miễn giảm học phí gồm những trường hợp nào,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,0,
Thủ tục xin miễn giảm học phí,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,0,
Giảm học phí như thế nào,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,0,
C? ch?nh s?ch mi?n gi?m h?c ph? kh?ng?,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,1,Bo sung cau hoi mau #1 cho intent chinh_sach_mien_giam
??i t??ng n?o ???c gi?m h?c ph??,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,1,Bo sung cau hoi mau #2 cho intent chinh_sach_mien_giam
Mi?n gi?m h?c ph? c?n ?i?u ki?n g??,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,1,Bo sung cau hoi mau #3 cho intent chinh_sach_mien_giam
Sinh vi?n kh? kh?n c? ???c gi?m h?c ph? kh?ng?,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,1,Bo sung cau hoi mau #4 cho intent chinh_sach_mien_giam
H? s? xin mi?n gi?m h?c ph? g?m g??,chinh_sach_mien_giam,doi_tuong,faq,Ch?nh s?ch mi?n gi?m h?c ph? ph? thu?c ??i t??ng v? h? s? minh ch?ng. B?n thu?c nh?m ??i t??ng n?o ?? m?nh h??ng d?n chi ti?t?,1,Bo sung cau hoi mau #5 cho intent chinh_sach_mien_giam
