cau_hoi,intent_raw,intent,entities_required,response_type,tra_loi
Cho hỏi lịch học,lich_hoc,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu lịch học."
Lịch học của mình,lich_hoc,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu lịch học."
Lịch học hôm nay,lich_hoc,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết MSSV (hoặc lớp) và ngày cần xem để mình tra cứu.
Lịch học tuần này,lich_hoc,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và tuần cần xem để mình tra cứu."
Lịch học môn X,lich_hoc,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết mã môn/tên môn, học kỳ và năm học để mình tra cứu lịch học."
Cho hỏi lịch thi,lich_thi,lich_thi,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu lịch thi."
Lịch thi của mình,lich_thi,lich_thi,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu lịch thi."
Lịch thi cuối kỳ,lich_thi,lich_thi,"mssv|lop,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu lịch thi cuối kỳ.
Thi môn X khi nào,lich_thi,lich_thi,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết mã môn/tên môn, học kỳ và năm học để mình tra cứu lịch thi."
Thi ở phòng nào,lich_thi,lich_thi,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết mã môn/tên môn, học kỳ và năm học để mình tra cứu phòng thi."
Thời khóa biểu của mình,thoi_khoa_bieu,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu thời khóa biểu."
Cho xem thời khóa biểu,thoi_khoa_bieu,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và MSSV (hoặc lớp) để mình tra cứu thời khóa biểu."
TKB học kỳ này,thoi_khoa_bieu,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu thời khóa biểu.
Thời khóa biểu theo tuần,thoi_khoa_bieu,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết học kỳ, năm học và tuần cần xem để mình tra cứu."
Xem TKB ở đâu,thoi_khoa_bieu,lich_hoc,"mssv|lop,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết bạn muốn xem trên portal hay LMS để mình hướng dẫn.
Phòng học hôm nay,phong_hoc,phong_hoc,"ma_mon|ten_mon,ngay|tuan,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết MSSV (hoặc lớp) và ngày cần xem để mình tra cứu phòng học.
Hôm nay học phòng nào,phong_hoc,phong_hoc,"ma_mon|ten_mon,ngay|tuan,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết MSSV (hoặc lớp) và ngày cần xem để mình tra cứu phòng học.
Môn X học phòng nào,phong_hoc,phong_hoc,"ma_mon|ten_mon,ngay|tuan,hoc_ky,nam_hoc",db_query,Bạn vui lòng cho biết mã môn/tên môn và buổi học (thứ/tiết) để mình tra cứu phòng.
Tra cứu phòng học,phong_hoc,phong_hoc,"ma_mon|ten_mon,ngay|tuan,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết MSSV (hoặc lớp), học kỳ và năm học để mình tra cứu phòng học."
Phòng học của lớp mình,phong_hoc,phong_hoc,"ma_mon|ten_mon,ngay|tuan,hoc_ky,nam_hoc",db_query,"Bạn vui lòng cho biết lớp, học kỳ và năm học để mình tra cứu phòng học."
Học phí ngành CNTT bao nhiêu,hoc_phi_theo_nganh,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.
Học phí theo ngành,hoc_phi_theo_nganh,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.
Học phí ngành của mình,hoc_phi_theo_nganh,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.
Học phí chương trình chất lượng cao,hoc_phi_theo_nganh,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành và học kỳ/năm học để mình tra cứu học phí theo ngành.
Học phí hệ đại trà theo ngành,hoc_phi_theo_nganh,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành và học kỳ/năm học để mình tra cứu học phí theo ngành.
Một tín chỉ bao nhiêu tiền,hoc_phi_theo_tin_chi,hoc_phi_theo_tin_chi,so_tin_chi|nganh,hybrid,Bạn vui lòng cho biết ngành/chương trình và năm học để mình tra cứu đơn giá tín chỉ.
Học phí theo tín chỉ tính sao,hoc_phi_theo_tin_chi,hoc_phi_theo_tin_chi,so_tin_chi|nganh,hybrid,Bạn vui lòng cho biết ngành/chương trình và số tín chỉ dự kiến để mình ước tính học phí.
Học phí 18 tín chỉ,hoc_phi_theo_tin_chi,hoc_phi_theo_tin_chi,so_tin_chi|nganh,hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình ước tính học phí theo tín chỉ.
Giá tín chỉ của trường,hoc_phi_theo_tin_chi,hoc_phi_theo_tin_chi,so_tin_chi|nganh,hybrid,Bạn vui lòng cho biết ngành/chương trình và năm học để mình tra cứu đơn giá tín chỉ.
Học phí tính theo số tín chỉ,hoc_phi_theo_tin_chi,hoc_phi_theo_tin_chi,so_tin_chi|nganh,hybrid,Bạn vui lòng cho biết ngành/chương trình và số tín chỉ dự kiến để mình ước tính.
Khi nào đóng học phí,thoi_gian_dong_hoc_phi,thoi_gian_dong_hoc_phi,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu thời gian đóng học phí.
Hạn đóng học phí là khi nào,thoi_gian_dong_hoc_phi,thoi_gian_dong_hoc_phi,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu hạn đóng học phí.
Thời gian đóng học phí kỳ này,thoi_gian_dong_hoc_phi,thoi_gian_dong_hoc_phi,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu thời gian đóng học phí.
Đóng học phí lúc nào,thoi_gian_dong_hoc_phi,thoi_gian_dong_hoc_phi,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu thời gian đóng học phí.
Deadline đóng học phí,thoi_gian_dong_hoc_phi,thoi_gian_dong_hoc_phi,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu hạn đóng học phí.
Chính sách miễn giảm học phí,chinh_sach_mien_giam,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.
Ai được miễn giảm học phí,chinh_sach_mien_giam,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn đang hỏi theo diện nào (hộ nghèo/chính sách/khác) để mình hỗ trợ.
Miễn giảm học phí gồm những trường hợp nào,chinh_sach_mien_giam,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết diện miễn giảm bạn quan tâm để mình cung cấp thông tin.
Thủ tục xin miễn giảm học phí,chinh_sach_mien_giam,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết diện miễn giảm và học kỳ/năm học để mình hướng dẫn.
Giảm học phí như thế nào,chinh_sach_mien_giam,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào để mình hỗ trợ chính xác.
Quy chế đào tạo,quy_che_dao_tao,quy_che_dao_tao,chu_de_quy_che,faq,Bạn vui lòng cho biết chương trình đào tạo và năm học áp dụng để mình cung cấp đúng quy chế.
Cho xem quy chế đào tạo,quy_che_dao_tao,quy_che_dao_tao,chu_de_quy_che,faq,Bạn vui lòng cho biết chương trình đào tạo và năm học áp dụng để mình cung cấp đúng quy chế.
Quy chế đào tạo là gì,quy_che_dao_tao,quy_che_dao_tao,chu_de_quy_che,faq,Bạn vui lòng cho biết chương trình đào tạo và năm học áp dụng để mình cung cấp đúng quy chế.
Xem quy chế đào tạo ở đâu,quy_che_dao_tao,quy_che_dao_tao,chu_de_quy_che,faq,Bạn muốn xem trên website hay cổng sinh viên (portal) ạ?
Quy chế đào tạo hiện hành,quy_che_dao_tao,quy_che_dao_tao,chu_de_quy_che,faq,Bạn vui lòng cho biết chương trình đào tạo và năm học áp dụng để mình cung cấp đúng quy chế.
Điều kiện xét tốt nghiệp,dieu_kien_xet_tot_nghiep,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.
Muốn tốt nghiệp cần gì,dieu_kien_xet_tot_nghiep,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.
Tiêu chí xét tốt nghiệp,dieu_kien_xet_tot_nghiep,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.
Điều kiện ra trường,dieu_kien_xet_tot_nghiep,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.
Xét tốt nghiệp dựa trên gì,dieu_kien_xet_tot_nghiep,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.
Điều kiện cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.
Khi nào bị cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.
Tiêu chí bị cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.
Cảnh báo học vụ dựa vào gì,dieu_kien_canh_bao_hoc_vu,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.
Điểm bao nhiêu thì bị cảnh báo,dieu_kien_canh_bao_hoc_vu,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết học kỳ/năm học và chương trình đào tạo để mình tra cứu.
Quy định thi lại,quy_dinh_thi_lai_hoc_lai,quy_dinh_thi_lai_hoc_lai,ma_mon|ten_mon,faq,Bạn vui lòng cho biết môn học và học kỳ/năm học áp dụng để mình tra cứu quy định.
Quy định học lại,quy_dinh_thi_lai_hoc_lai,quy_dinh_thi_lai_hoc_lai,ma_mon|ten_mon,faq,Bạn vui lòng cho biết môn học và học kỳ/năm học áp dụng để mình tra cứu quy định.
Rớt môn thì làm sao,quy_dinh_thi_lai_hoc_lai,quy_dinh_thi_lai_hoc_lai,ma_mon|ten_mon,faq,Bạn vui lòng cho biết môn học và học kỳ/năm học để mình hướng dẫn theo quy định.
Thi lại tối đa mấy lần,quy_dinh_thi_lai_hoc_lai,quy_dinh_thi_lai_hoc_lai,ma_mon|ten_mon,faq,Bạn vui lòng cho biết môn học để mình tra cứu quy định.
Học lại có giới hạn không,quy_dinh_thi_lai_hoc_lai,quy_dinh_thi_lai_hoc_lai,ma_mon|ten_mon,faq,Bạn vui lòng cho biết môn học để mình tra cứu quy định.
Thông báo nghỉ học,thong_bao_nghi_hoc,thong_bao_nghi_hoc,thoi_gian|khoa|lop,faq,Bạn vui lòng cho biết khoảng thời gian hoặc tuần cần xem để mình tra cứu thông báo nghỉ học.
Trường có thông báo nghỉ học không,thong_bao_nghi_hoc,thong_bao_nghi_hoc,thoi_gian|khoa|lop,faq,Bạn vui lòng cho biết ngày/tháng hoặc tuần cần xem để mình tra cứu.
Hôm nay có nghỉ học không,thong_bao_nghi_hoc,thong_bao_nghi_hoc,thoi_gian|khoa|lop,faq,Bạn vui lòng cho biết cơ sở/khoa (nếu có) và ngày cần xem để mình tra cứu.
Thông báo nghỉ do thời tiết,thong_bao_nghi_hoc,thong_bao_nghi_hoc,thoi_gian|khoa|lop,faq,Bạn vui lòng cho biết ngày và cơ sở/khoa để mình tra cứu.
Nghỉ học đột xuất,thong_bao_nghi_hoc,thong_bao_nghi_hoc,thoi_gian|khoa|lop,faq,Bạn vui lòng cho biết ngày và cơ sở/khoa để mình tra cứu.
Thông báo đăng ký môn,thong_bao_dang_ky_mon,thong_bao_dang_ky_mon,"hoc_ky,nam_hoc",faq,Bạn vui lòng cho biết học kỳ và năm học để mình tra cứu thông báo đăng ký môn.
